date,ph
04/14/2016 17:20:00,8.019
04/14/2016 17:25:01,8.0204
04/14/2016 17:30:02,8.0193
04/14/2016 17:35:03,8.0232
04/14/2016 17:40:04,8.0255
04/14/2016 17:45:05,8.0314
04/14/2016 17:50:06,8.0367
04/14/2016 17:55:07,8.0392
04/14/2016 18:00:08,8.037
04/14/2016 18:05:09,8.0383
04/14/2016 18:10:10,8.0476
04/14/2016 18:15:11,8.0488
04/14/2016 18:20:12,8.0549
04/14/2016 18:25:13,8.0582
04/14/2016 18:30:14,8.0581
04/14/2016 18:35:15,8.0615
04/14/2016 18:40:16,8.0622
04/14/2016 18:45:17,8.0662
04/14/2016 18:50:18,8.0719
04/14/2016 18:55:19,8.0748
04/14/2016 19:00:20,8.0748
04/14/2016 19:05:21,8.0784
04/14/2016 19:10:22,8.0832
04/14/2016 19:15:23,8.0868
04/14/2016 19:20:24,8.0913
04/14/2016 19:25:26,8.0906
04/14/2016 19:30:26,8.0856
04/14/2016 19:35:27,8.0904
04/14/2016 19:40:28,8.1012
04/14/2016 19:45:29,8.1039
04/14/2016 19:50:30,8.1056
04/14/2016 19:55:31,8.1056
04/14/2016 20:00:32,8.1076
04/14/2016 20:05:33,8.1101
04/14/2016 20:10:34,8.1162
04/14/2016 20:15:35,8.1168
04/14/2016 20:20:36,8.1209
04/14/2016 20:25:37,8.1207
04/14/2016 20:30:38,8.1217
04/14/2016 20:35:39,8.125
04/14/2016 20:40:40,8.1277
04/14/2016 20:45:41,8.1285
04/14/2016 20:50:42,8.1318
04/14/2016 20:55:43,8.1308
04/14/2016 21:00:44,8.1297
04/14/2016 21:05:45,8.1315
04/14/2016 21:10:46,8.1379
04/14/2016 21:15:47,8.1425
04/14/2016 21:20:48,8.1436
04/14/2016 21:25:49,8.1431
04/14/2016 21:30:51,8.1431
04/14/2016 21:35:52,8.1466
04/14/2016 21:40:53,8.151
04/14/2016 21:45:54,8.1509
04/14/2016 21:50:55,8.1535
04/14/2016 21:55:56,8.1538
04/14/2016 22:00:57,8.1513
04/14/2016 22:05:58,8.1553
04/14/2016 22:10:59,8.1626
04/14/2016 22:16:00,8.1647
04/14/2016 22:21:01,8.1675
04/14/2016 22:26:02,8.1641
04/14/2016 22:31:03,8.1656
04/14/2016 22:36:04,8.1682
04/14/2016 22:41:08,8.1714
04/14/2016 22:46:09,8.1736
04/14/2016 22:51:10,8.1752
04/14/2016 22:56:11,8.1745
04/14/2016 23:01:12,8.1744
04/14/2016 23:06:13,8.1776
04/14/2016 23:11:14,8.1795
04/14/2016 23:16:15,8.1787
04/14/2016 23:21:16,8.1828
04/14/2016 23:31:18,8.181
04/14/2016 23:41:20,8.1873
04/14/2016 23:46:21,8.1859
04/14/2016 23:51:22,8.1873
04/14/2016 23:56:23,8.1871
04/15/2016 00:01:24,8.1881
04/15/2016 00:06:25,8.1908
04/15/2016 00:11:26,8.1896
04/15/2016 00:16:27,8.1921
04/15/2016 00:21:28,8.191
04/15/2016 00:26:29,8.1902
04/15/2016 00:31:30,8.1895
04/15/2016 00:36:31,8.1901
04/15/2016 00:41:32,8.1959
04/15/2016 00:46:33,8.1956
